Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),RH (%),WS (m/s),TOT-RF (mm),SR (W/mt2),BP (mmHg)
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T08:15:00.000000+0000,86,,6.6,29.7,21.2,22.3,31,81,2.2,0,222,750
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T08:30:00.000000+0000,86,,5.8,27.1,19.2,24.4,27.5,80,3,0,255,755
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T08:45:00.000000+0000,107,,5,25.1,17.4,26.1,23.1,79,2.4,0,285,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T09:00:00.000000+0000,107,,5.6,22.9,16.7,26,19.4,77,2.3,0,317,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T09:15:00.000000+0000,107,,5.2,23,16.5,27,18.6,76,2.8,0,350,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T09:30:00.000000+0000,107,,6.4,21.2,16.5,28.8,20.9,76,2.4,0,375,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T09:45:00.000000+0000,102,,5.5,18.8,14.5,29.4,18.5,75,2.8,0,403,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T10:00:00.000000+0000,102,,4.7,19.9,14.4,30.3,19.7,74,2.5,0,429,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T10:15:00.000000+0000,102,,5.2,18.3,14,33.9,19.2,73,2.7,0,457,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T10:30:00.000000+0000,,,,,,,,,,0,,
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T10:45:00.000000+0000,86,,4.2,17.1,12.5,32.1,,71,2.8,0,484,757
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T11:00:00.000000+0000,86,,5.9,17.6,14.2,28.9,,70,2.9,0,521,757
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T11:15:00.000000+0000,86,,5.1,19.3,14.4,29.3,20.6,70,3,0,284,757
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T11:30:00.000000+0000,86,,5.2,16.8,13.2,35.5,18.9,72,3.4,0,278,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T11:45:00.000000+0000,73,,,,,,18.9,71,2.8,0,444,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T12:00:00.000000+0000,73,66,3.1,11.3,8.5,13.7,27.2,70,2.9,0,332,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T12:15:00.000000+0000,73,66,5.9,21.2,16.1,27.4,31.6,70,2.5,0,271,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T12:30:00.000000+0000,73,66,4.6,22.3,15.6,30.6,27.4,70,2.8,0,358,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T12:45:00.000000+0000,85,156,6.4,21.2,16.5,31.7,30.8,70,2.9,0,447,757
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T13:00:00.000000+0000,85,156,4.5,20.1,14.4,26.8,26.8,69,3.1,0,262,757
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T13:15:00.000000+0000,85,156,3.3,15.5,10.9,33.8,14.2,70,2.8,0,253,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T13:30:00.000000+0000,85,156,4.4,18.7,13.5,28.7,20.5,70,2.9,0,209,757
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T13:45:00.000000+0000,87,129,4.3,19.3,13.8,27,25.1,70,2.4,0,176,757
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T14:00:00.000000+0000,87,129,5.8,20,15.3,25.8,22.7,70,2.6,0,149,757
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T14:15:00.000000+0000,87,129,6.2,18.4,14.8,26.9,19.5,70,2.3,0,174,757
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T14:30:00.000000+0000,87,129,2.1,23.6,14.2,26.9,22.1,70,3,0,201,757
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T14:45:00.000000+0000,69,131,5.6,21.6,16.1,25.9,29.7,71,3.2,0,182,757
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T15:00:00.000000+0000,69,131,5.1,25.5,17.7,25,36.8,72,3.3,0,196,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T15:15:00.000000+0000,69,131,4.1,17.6,12.7,28.7,25.7,72,3,0,170,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T15:30:00.000000+0000,69,131,4.5,14.6,11.4,30.1,14.9,72,2.9,0,182,754
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T15:45:00.000000+0000,61,122,3.4,13.3,9.8,31,13.5,71,3.5,0,204,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T16:00:00.000000+0000,61,122,3,12,8.8,31.1,8.7,71,3.7,0,195,756
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T16:15:00.000000+0000,61,122,3.3,12.3,9.3,30.8,7.4,71,2.9,0,170,755
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T16:30:00.000000+0000,61,122,5.2,14.2,11.8,30,6.1,71,2.5,0,137,752
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T16:45:00.000000+0000,58,111,4.7,13.9,11.2,29.6,4.5,72,2.3,0,105,742
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T17:00:00.000000+0000,58,111,2.8,14.6,10.1,29.1,4.6,74,2.7,0,79,729
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T17:15:00.000000+0000,58,111,4.4,14.9,11.5,28.6,3.2,74,3,0,74,723
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T17:30:00.000000+0000,58,111,3.4,13.6,10,30,4,74,2.4,0,62,720
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T17:45:00.000000+0000,60,113,4.5,17.8,13.2,28.1,4.1,74,2.2,0,53,720
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T18:00:00.000000+0000,60,113,4.9,18.3,13.7,27.2,4.6,75,1.9,0,51,720
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T18:15:00.000000+0000,60,113,3.9,21.1,14.4,27.4,4.2,75,1.8,0,51,720
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T18:30:00.000000+0000,60,113,1,20.1,11.5,25.4,3.6,75,1.7,0,51,720
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T18:45:00.000000+0000,61,128,3.1,23.2,14.9,22.3,4.3,76,1.6,0,51,720
