Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T05:30:00.000000+0000,103.0,186.4,6.9,18.15,21.05,,28.69,0.41,1.74,,,,,,,23.6,,0.96,232.0,,0.0,0.0,1014.54,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T05:45:00.000000+0000,78.07,141.52,5.62,,1.63,8.99,28.06,0.43,2.01,,,,,,,23.64,,0.9,263.54,,0.0,0.0,1014.66,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T06:00:00.000000+0000,69.0,125.2,5.54,,,11.11,28.24,0.41,1.83,,,,,,,23.72,,1.1,225.2,,0.0,0.0,1014.83,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T06:15:00.000000+0000,69.0,125.2,5.64,,,10.27,28.52,0.41,1.91,,,,,,,23.67,,1.03,196.25,,0.0,0.0,1014.95,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T06:30:00.000000+0000,69.0,125.2,5.65,,,10.54,27.76,0.5,1.56,,,,,,,23.63,,1.03,236.05,,0.0,0.1,1015.08,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T06:45:00.000000+0000,74.13,134.44,5.74,,0.31,10.59,28.51,0.46,0.93,,,,,,,23.63,,0.81,248.79,,0.0,9.59,1015.25,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T07:00:00.000000+0000,76.0,137.8,5.95,,1.69,9.39,28.48,0.46,1.41,,,,,,,23.76,,0.89,241.31,,0.0,34.45,1015.5,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T07:15:00.000000+0000,76.0,137.8,5.83,,1.37,9.48,28.13,0.43,2.17,,,,,,,23.9,,1.13,228.49,,0.0,63.69,1015.64,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T07:30:00.000000+0000,76.0,137.8,5.8,,,11.11,28.04,0.42,0.91,,,,,,,24.19,,1.1,249.02,,0.0,103.78,1015.82,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T07:45:00.000000+0000,78.2,141.76,5.4,,,12.1,28.23,0.44,1.37,,,,,,,24.69,,0.8,220.23,,0.0,143.56,1016.07,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T08:00:00.000000+0000,79.0,143.2,5.75,,0.44,9.97,28.17,0.43,1.86,,,,,,,25.11,,1.01,256.61,,0.0,186.67,1016.23,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T08:15:00.000000+0000,79.0,143.2,5.56,,0.09,9.93,28.21,0.45,1.48,,,,,,,25.57,,1.06,271.15,,0.0,237.48,1016.4,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T08:30:00.000000+0000,79.0,143.2,5.37,,,10.1,28.07,0.46,1.16,,,,,,,26.05,,1.08,237.03,,0.0,288.23,1016.59,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T08:45:00.000000+0000,81.93,148.48,5.56,,,10.23,28.69,0.4,1.38,,,,,,,26.46,,0.97,220.42,,0.0,336.6,1016.68,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T09:00:00.000000+0000,83.0,150.4,5.35,,,11.84,27.86,0.36,1.02,,,,,,,27.02,,1.11,256.22,,0.0,372.87,1016.79,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T09:15:00.000000+0000,83.0,150.4,5.51,,,10.88,27.99,0.45,2.01,,,,,,,27.47,,1.16,182.2,,0.0,422.17,1016.87,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T09:30:00.000000+0000,83.0,150.4,5.51,,,10.18,28.04,0.44,2.25,,,,,,,27.71,,1.23,234.93,,0.0,470.57,1016.9,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T09:45:00.000000+0000,79.33,143.8,5.6,,,10.13,28.34,0.45,1.38,,,,,,,28.12,,1.36,229.94,,0.0,507.38,1016.84,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T10:00:00.000000+0000,78.0,141.4,5.73,,0.74,9.41,28.1,0.37,2.26,,,,,,,28.03,,1.54,251.72,,0.0,525.7,1016.8,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T10:15:00.000000+0000,78.0,141.4,5.63,,0.18,9.9,28.78,0.37,1.74,,,,,,,28.21,,1.75,252.99,,0.0,558.02,1016.74,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T10:30:00.000000+0000,78.0,141.4,5.6,,,10.51,27.79,0.44,1.29,,,,,,,28.59,,1.64,232.59,,0.0,578.43,1016.61,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T10:45:00.000000+0000,75.02,136.12,5.44,,,11.54,28.3,0.41,1.81,,,,,,,29.09,,1.47,159.42,,0.0,604.66,1016.49,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T11:00:00.000000+0000,74.0,134.2,5.27,,,11.15,28.2,0.51,1.95,,,,,,,29.27,,1.73,180.02,,0.0,563.84,1016.27,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T11:15:00.000000+0000,74.0,134.2,5.54,,0.6,9.39,28.58,0.48,2.43,,,,,,,29.2,,1.56,155.08,,0.0,574.54,1016.07,
