_id,Station ID,State,City,Station Name,Timestamp,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),O Xylene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),AT (degC),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
1,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T00:00:00,22.75,79.76,2.34,17.1,19.44,17.29,11.46,1.55,21.63,0.61,5.91,,,0.4,0.3,,90.65,1.29,7.18,,,,1011.9,-0.5
2,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T00:15:00,29.47,81.85,2.47,16.98,19.45,17.39,11.08,1.42,20.77,1.46,1.13,,,1.1,0.01,,91.19,1.22,12.03,,,,1011.8,-0.5
3,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T00:30:00,30.22,81.85,2.6,17.59,20.19,17.36,11.31,1.69,20.95,1.49,0.0,,,1.06,0.62,,90.79,1.47,342.03,,,,1011.7,-0.5
4,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T00:45:00,30.22,81.85,2.75,17.75,20.5,17.61,10.71,1.21,20.5,1.31,3.8,,,0.27,0.28,,91.39,1.81,333.97,,,,1011.6,-0.5
5,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T01:00:00,30.22,80.46,3.09,19.14,22.23,17.79,11.06,1.26,20.5,1.33,1.57,,,1.98,0.78,,91.72,1.26,5.46,,,,1011.5,-0.5
6,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T01:15:00,25.53,72.27,3.66,20.23,23.89,18.03,11.18,1.48,19.58,0.0,0.0,,,,,,91.92,1.12,71.33,,,,1011.5,-0.5
7,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T01:30:00,25.01,72.27,4.12,20.2,24.32,18.16,10.92,1.42,19.08,0.0,0.0,,,2.5,0.26,,91.88,0.93,16.69,,,,1011.2,-0.5
8,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T01:45:00,25.01,72.27,6.15,25.15,31.3,19.29,11.21,1.47,18.75,0.83,1.94,,,1.3,1.5,,91.81,1.23,62.24,,,,1010.9,-0.5
9,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T02:00:00,25.01,73.38,7.56,28.5,36.06,20.02,11.07,1.53,18.67,1.51,8.45,,,1.38,,,91.79,1.02,55.92,,,,1010.9,-0.5
10,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T02:15:00,26.61,79.98,10.0,33.28,43.28,20.8,11.05,1.48,18.67,0.0,0.0,,,0.37,,,91.78,1.0,50.34,,,,1010.9,-0.5
11,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T02:30:00,26.78,79.98,12.9,37.11,50.01,21.84,10.93,1.49,18.69,0.0,0.0,,,1.76,0.37,,91.77,1.03,27.14,,,,1010.9,-0.5
12,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T02:45:00,26.78,79.98,14.96,39.49,54.44,22.52,11.18,1.47,18.85,1.02,1.78,,,0.31,,,91.75,1.32,61.64,,,,1010.7,-0.5
13,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T03:00:00,26.78,83.9,16.14,39.7,55.84,22.67,11.08,1.26,19.22,1.2,3.65,,,1.16,1.4,,91.82,1.2,66.22,,,,1010.6,-0.5
14,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T03:15:00,27.0,107.17,16.18,38.66,54.84,22.51,11.11,1.39,18.83,2.41,0.0,,,,0.34,,91.81,1.09,37.15,,,,1010.5,-0.5
15,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T03:30:00,27.02,107.17,14.9,37.55,52.45,22.13,10.95,1.34,18.83,0.92,1.18,,,1.43,0.82,,91.82,1.94,95.15,,,,1010.5,-0.5
16,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T03:45:00,27.02,107.17,12.37,35.3,47.67,21.32,11.25,1.47,18.99,0.91,1.49,,,0.51,0.21,,91.84,0.45,39.04,,,,1010.6,-0.5
17,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T04:00:00,27.02,109.11,15.49,41.51,57.0,21.8,10.86,1.51,18.97,0.0,1.12,,,,,,91.83,1.17,92.22,,,,1010.6,-0.5
18,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T04:15:00,26.75,120.62,12.01,36.28,48.29,20.66,11.12,1.33,18.76,0.0,0.0,,,,0.31,,91.91,1.3,64.79,,,,1010.6,-0.5
19,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T04:30:00,26.72,120.62,9.28,30.92,40.2,19.87,11.12,1.38,18.87,1.17,0.0,,,1.74,,,91.85,1.97,88.97,,,,1010.6,-0.5
20,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T04:45:00,26.72,120.62,8.85,28.51,37.36,19.52,11.1,1.12,18.84,0.0,4.24,,,0.39,0.46,,91.93,1.97,89.75,,,,1010.8,-0.5
21,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T05:00:00,26.72,119.24,8.01,27.47,35.48,19.16,10.82,1.34,19.19,1.36,1.91,,,0.3,0.84,,91.93,1.7,81.61,,,,1011.0,-0.5
22,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T05:15:00,27.44,110.26,7.78,28.35,36.13,19.12,11.1,1.31,18.81,1.88,1.47,,,0.49,0.69,,91.94,1.18,48.04,,,,1011.2,-0.5
23,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T05:30:00,27.51,110.26,7.98,29.15,37.13,18.9,10.96,1.39,19.11,1.82,2.88,,,,1.42,,91.89,1.31,61.41,,,,1011.3,-0.5
24,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T05:45:00,27.51,110.26,6.92,29.36,36.28,18.6,10.68,1.26,19.42,0.0,0.0,,,0.94,,,91.93,1.28,65.35,,,,1011.5,-0.5
25,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T06:00:00,27.51,111.87,8.3,23.76,32.06,16.84,10.95,1.29,19.66,2.09,3.94,,,2.76,0.55,,91.99,1.03,36.3,,,,1011.5,-0.5
26,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T06:15:00,34.24,121.41,7.52,30.74,38.26,17.49,10.55,1.23,19.77,0.0,1.58,,,0.46,,,91.91,1.37,62.53,,,,1011.7,-0.5
27,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T06:30:00,34.99,121.41,5.91,31.77,37.68,17.68,11.07,1.47,19.71,0.0,3.93,,,0.94,1.38,,91.96,1.45,76.82,,,2.3,1011.9,-0.5
28,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T06:45:00,34.99,121.41,6.58,35.58,42.17,18.35,10.99,1.57,19.82,1.28,0.91,,,0.61,0.62,,92.02,1.31,73.85,,,12.05,1012.1,-0.5
29,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T07:00:00,34.99,119.27,4.51,29.45,33.97,17.55,11.23,0.76,20.24,1.53,3.02,,,1.94,1.57,,92.05,1.41,74.07,,,23.08,1012.3,-0.5
30,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T07:15:00,29.4,106.62,3.77,27.09,30.86,17.28,11.21,0.61,20.53,1.19,1.98,,,1.71,,,91.77,1.46,77.23,,,34.53,1012.4,-0.5
31,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T07:30:00,28.78,106.62,3.7,27.98,31.68,17.46,11.12,0.83,20.39,0.91,8.78,,,3.68,0.81,,89.68,1.42,84.91,,,46.69,1012.6,-0.5
32,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T07:45:00,28.78,106.62,4.22,36.26,40.49,18.65,11.11,0.66,21.65,0.62,1.81,,,,0.22,,83.0,0.82,53.48,,,59.28,1012.9,-0.5
33,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T08:00:00,28.78,106.77,3.53,37.17,40.71,18.3,11.08,0.73,22.34,5.49,2.47,,,0.69,1.16,,79.0,1.08,65.97,,,73.72,1013.2,-0.5
34,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T08:15:00,30.15,107.68,3.33,39.16,42.49,18.03,10.9,0.87,22.89,0.0,0.64,,,0.83,0.58,,75.71,0.87,41.13,,,87.32,1013.3,-0.5
35,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T08:30:00,30.31,107.68,2.87,36.45,39.32,17.53,11.25,0.77,23.2,1.43,2.56,,,0.52,0.51,,73.96,0.94,50.4,,,100.69,1013.4,-0.5
36,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T08:45:00,30.31,107.68,2.61,36.15,38.76,17.91,11.21,0.67,23.48,1.29,0.9,,,1.23,0.4,,71.75,1.06,74.29,,,119.93,1013.6,-0.49
37,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T09:00:00,30.31,109.37,2.1,31.84,33.94,17.5,11.12,0.68,25.33,1.15,0.0,,,1.64,0.35,,69.7,0.63,58.45,,,140.92,1013.6,-0.49
38,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T09:15:00,31.11,119.37,2.07,33.07,35.14,17.59,10.97,0.36,24.32,0.0,0.0,,,,1.33,,68.69,1.31,86.06,,,186.49,1013.6,-0.5
39,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T09:30:00,31.19,119.37,1.77,31.34,33.12,17.36,11.37,0.47,25.02,0.0,3.29,,,0.94,0.44,,66.38,0.8,29.24,,,213.63,1013.7,-0.49
40,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T09:45:00,31.19,119.37,1.62,30.76,32.38,17.36,10.74,0.4,26.29,0.0,1.73,,,1.09,0.27,,64.53,0.76,18.29,,,369.7,1013.6,-0.49
41,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T10:00:00,31.19,119.0,1.46,29.26,30.72,17.19,11.06,0.44,26.11,0.0,0.0,,,2.09,,,64.01,0.75,53.06,,,445.26,1013.6,-0.49
42,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T10:15:00,34.27,116.87,1.4,26.48,27.89,16.76,11.26,0.37,26.93,1.32,1.39,,,0.86,0.25,,62.3,0.79,54.21,,,361.76,1013.6,-0.49
43,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T10:30:00,34.61,116.87,1.21,24.07,25.28,16.45,10.93,0.51,26.84,1.58,0.03,,,3.31,0.71,,62.16,1.46,90.4,,,456.91,1013.3,-0.49
44,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T10:45:00,34.61,116.87,0.95,21.22,22.17,16.16,10.93,0.45,30.02,0.04,1.56,,,1.54,0.41,,60.64,1.29,95.04,,,414.73,1013.2,-0.49
45,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T11:00:00,34.61,115.63,0.86,20.54,21.41,15.96,11.38,0.56,28.55,0.0,0.04,,,2.59,0.39,,60.44,1.4,99.08,,,401.95,1013.0,-0.49
46,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T11:15:00,38.94,108.31,0.82,16.93,17.75,15.13,10.92,0.49,27.85,0.6,5.63,,,1.03,0.78,,61.91,0.83,78.35,,,172.92,1012.9,-0.5
47,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T11:30:00,39.42,108.31,0.95,16.79,17.74,15.13,11.46,0.68,27.21,0.64,2.68,,,0.02,1.77,,62.17,0.77,115.61,,,246.11,1012.6,-0.49
48,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T11:45:00,39.42,108.31,1.14,19.65,20.78,16.03,10.88,0.62,25.53,1.71,2.26,,,1.67,0.89,,61.68,1.05,114.5,,,359.16,1012.4,-0.49
49,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T12:00:00,39.42,110.46,0.94,15.09,16.03,15.71,10.82,0.41,26.3,0.04,0.05,,,0.92,0.98,,57.26,1.29,111.21,,,377.32,1012.1,-0.49
50,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T12:15:00,34.92,123.2,1.19,18.91,20.1,16.04,11.28,0.82,27.75,0.0,2.52,,,0.02,0.55,,62.12,1.52,107.03,,,290.17,1012.0,-0.49
51,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T12:30:00,34.42,123.2,1.24,19.75,20.99,16.39,11.16,0.77,28.02,0.0,4.93,,,1.7,1.42,,59.22,1.5,109.34,,,617.86,1011.6,-0.48
52,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T12:45:00,34.42,123.2,0.92,13.45,14.37,16.37,11.1,0.77,27.3,1.42,1.59,,,0.53,0.42,,57.7,0.98,108.65,,,564.9,1011.3,-0.49
53,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T13:00:00,34.42,121.82,0.85,11.71,12.56,16.54,11.24,0.88,27.3,1.5,2.97,,,0.32,1.08,,57.97,1.33,107.99,,,524.27,1011.1,-0.49
54,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T13:15:00,36.55,113.63,0.94,12.02,12.96,16.54,11.28,1.11,26.65,0.03,1.54,,,0.54,0.44,,57.66,1.48,97.79,,,467.8,1010.9,-0.49
55,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T13:30:00,36.82,113.63,1.1,14.97,16.07,16.62,10.88,1.14,28.61,1.54,0.79,,,0.83,0.01,,57.49,1.31,96.48,,,474.43,1010.7,-0.49
56,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T13:45:00,36.82,113.63,1.14,15.85,16.98,16.31,11.14,1.15,29.27,1.1,1.39,,,0.02,,,57.93,1.34,109.38,,,356.72,1010.6,-0.49
57,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T14:00:00,36.82,111.52,0.93,11.44,12.37,15.8,11.13,1.09,28.3,2.76,0.03,,,0.44,0.32,,58.27,1.46,109.27,,,364.25,1010.5,-0.49
58,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T14:15:00,35.92,99.05,0.98,12.11,13.08,15.97,11.36,1.16,28.44,1.7,1.53,,,0.39,0.25,,57.55,1.34,107.12,,,429.56,1010.2,-0.49
59,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T14:30:00,35.82,99.05,1.59,16.87,18.46,17.11,11.52,0.93,26.66,0.04,0.03,,,0.92,0.94,,57.4,1.34,102.84,,,403.5,1010.0,-0.49
60,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T14:45:00,35.82,99.05,1.39,15.97,17.35,17.79,10.93,0.9,28.3,0.85,0.0,,,0.28,0.43,,58.49,1.21,96.98,,,315.49,1009.8,-0.49
61,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T15:00:00,35.82,100.95,0.89,11.14,12.03,16.88,10.73,0.66,30.45,1.11,1.99,,,1.4,1.38,,61.1,1.25,96.75,,,263.8,1009.7,-0.49
62,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T15:15:00,34.56,112.25,0.83,9.45,10.29,16.76,11.12,0.75,28.51,0.02,0.05,,,0.94,0.03,,62.0,1.5,105.59,,,253.03,1009.7,-0.49
63,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T15:30:00,34.42,112.25,0.96,9.51,10.46,16.79,11.1,0.63,27.94,0.0,3.22,,,1.7,0.33,,64.31,1.66,110.42,,,125.13,1009.5,-0.49
64,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T15:45:00,34.42,112.25,2.06,19.06,21.12,17.86,10.77,0.82,30.8,1.59,3.77,,,0.04,0.36,,63.42,1.62,112.92,,,157.46,1009.5,-0.49
65,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T16:00:00,34.42,111.79,1.35,11.68,13.03,17.17,11.07,1.02,29.21,2.27,3.08,,,0.97,0.71,,61.67,1.6,109.26,,,142.43,1009.5,-0.49
66,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T16:15:00,29.46,109.1,1.24,9.6,10.84,16.81,11.31,1.62,31.57,0.91,1.46,,,0.95,0.78,,62.14,1.56,101.0,,,91.41,1009.5,-0.49
67,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T16:30:00,28.91,109.1,1.23,9.12,10.36,17.09,11.29,1.73,27.35,0.02,1.28,,,2.34,0.02,,61.67,1.81,114.72,,,62.89,1009.6,-0.49
68,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T16:45:00,28.91,109.1,1.44,10.24,11.68,17.6,10.94,1.79,23.13,1.01,1.47,,,0.84,0.59,,62.93,1.59,107.47,,,48.66,1009.7,-0.5
69,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T17:00:00,28.91,106.96,1.63,11.51,13.14,18.15,11.02,1.85,22.98,2.09,2.66,,,0.02,0.01,,63.49,1.44,99.42,,,28.68,1009.9,-0.5
70,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T17:15:00,25.08,94.31,1.91,13.25,15.16,18.43,10.99,1.94,31.34,0.05,0.06,,,0.75,,,66.2,1.43,93.48,,,17.43,1010.0,-0.5
71,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T17:30:00,24.6,94.31,2.05,13.68,15.73,18.9,11.01,2.11,36.46,1.34,0.0,,,1.14,0.2,,66.41,1.8,101.92,,,4.18,1010.2,-0.5
72,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T17:45:00,24.6,94.31,2.28,16.91,19.19,19.38,11.18,2.11,29.71,0.03,0.0,,,0.32,0.52,,68.06,1.6,96.17,,,,1010.3,-0.5
73,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T18:00:00,24.6,93.08,3.6,13.77,17.36,17.56,11.17,2.07,28.67,0.59,1.63,,,0.79,2.81,,69.37,1.71,97.78,,,,1010.6,-0.5
74,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T18:15:00,25.96,85.81,6.19,39.84,46.03,21.86,10.93,2.32,25.46,1.09,5.58,,,0.76,0.62,,69.95,1.83,96.11,,,,1010.8,-0.5
75,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T18:30:00,26.11,85.81,2.48,25.05,27.53,20.02,11.11,2.18,26.38,0.68,0.13,,,1.87,0.21,,70.23,1.81,100.18,,,,1011.1,-0.5
76,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T18:45:00,,,3.41,,,,,,,,,,,,,,,,,,,,,
77,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T19:00:00,26.11,85.96,1.98,28.3,30.28,20.87,11.13,0.65,25.16,1.57,1.65,,,1.08,0.7,,72.95,1.84,97.69,,,,1011.5,-0.5
78,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T19:15:00,28.13,86.88,2.4,33.15,35.55,22.18,10.88,0.59,24.28,1.55,1.58,,,0.59,0.27,,74.42,1.75,95.76,,,,1011.7,-0.5
79,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T19:30:00,28.36,86.88,2.55,33.88,36.43,22.41,10.62,0.6,25.86,0.03,0.04,,,1.88,0.01,,74.52,1.65,97.03,,,,1012.1,-0.5
80,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T19:45:00,28.36,86.88,1.91,27.67,29.58,21.59,10.95,0.56,25.02,0.0,0.0,,,0.49,,,73.65,1.76,99.23,,,,1012.1,-0.5
81,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T20:00:00,28.36,87.46,1.64,24.34,25.97,20.82,11.49,0.5,26.75,0.81,0.0,,,1.33,,,73.35,1.69,95.94,,,,1012.4,-0.5
82,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T20:15:00,29.81,90.91,2.69,33.49,36.18,21.18,11.01,0.45,25.36,0.82,0.0,,,1.12,0.23,,73.42,1.82,97.85,,,,1012.4,-0.5
83,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T20:30:00,29.97,90.91,1.75,25.4,27.15,20.49,10.88,0.46,24.68,0.02,1.5,,,4.44,0.01,,74.31,1.89,96.08,,,,1012.7,-0.5
84,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T20:45:00,29.97,90.91,1.78,24.31,26.09,20.34,11.17,0.45,24.31,0.85,1.83,,,0.15,0.38,,78.37,1.75,82.99,,,,1013.0,-0.5
85,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T21:00:00,29.97,88.56,1.76,24.96,26.73,20.5,11.11,0.51,23.6,0.03,0.06,,,0.36,0.01,,75.93,1.74,91.85,,,,1013.0,-0.5
86,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T21:15:00,28.05,74.65,1.6,21.51,23.11,20.05,11.33,0.31,23.79,0.78,1.66,,,0.65,0.67,,75.84,1.84,93.58,,,,1013.0,-0.5
87,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T21:30:00,27.83,74.65,1.6,21.66,23.27,19.9,11.11,0.4,23.38,1.3,0.06,,,0.6,0.88,,75.54,1.84,103.12,,,,1013.0,-0.5
88,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T21:45:00,27.83,74.65,1.4,20.22,21.62,19.63,11.39,0.34,24.22,0.7,1.63,,,0.02,0.54,,74.71,1.76,97.75,,,,1012.8,-0.5
89,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T22:00:00,27.83,75.19,1.4,20.05,21.45,19.85,10.98,0.17,24.36,0.02,10.31,,,0.54,0.02,,76.97,1.85,95.98,,,,1012.6,-0.5
90,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T22:15:00,30.6,78.36,1.6,20.34,21.94,20.09,10.97,0.17,23.75,1.7,0.35,,,0.39,0.44,,77.98,1.65,94.55,,,,1012.4,-0.5
91,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T22:30:00,30.91,78.36,1.66,20.55,22.22,20.2,10.95,0.22,24.08,1.5,0.0,,,1.32,0.35,,74.56,1.63,106.4,,,,1012.4,-0.5
92,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T22:45:00,30.91,78.36,1.2,13.99,15.19,19.57,10.95,0.31,25.73,0.93,0.0,,,0.73,0.01,,73.81,1.8,100.03,,,,1012.3,-0.5
93,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T23:00:00,30.91,78.15,1.09,12.43,13.52,19.35,10.82,0.36,25.66,0.03,1.04,,,0.02,0.93,,76.13,1.8,90.8,,,,1012.1,-0.5
94,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T23:15:00,26.47,76.88,1.17,12.14,13.31,19.1,11.16,0.36,25.01,1.55,0.04,,,,0.4,,78.37,1.71,89.52,,,,1012.1,-0.5
95,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T23:30:00,25.98,76.88,1.17,11.66,12.84,19.38,11.23,0.32,24.49,1.03,1.4,,,0.46,0.56,,79.56,1.83,93.34,,,,1012.0,-0.5
96,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-02T00:00:00,25.98,77.09,1.06,10.46,11.52,19.33,11.19,0.32,24.58,0.02,3.11,,,1.83,0.02,,82.59,1.5,74.77,,,,1011.6,-0.5
97,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-02T00:15:00,23.33,78.33,1.02,9.7,10.72,19.1,11.23,0.27,24.75,0.75,0.11,,,0.5,0.45,,85.76,1.54,74.5,,,,1011.5,-0.5
98,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-02T00:30:00,23.04,78.33,0.94,9.13,10.06,19.24,11.21,0.21,25.09,0.98,5.9,,,0.4,0.38,,84.51,1.84,89.54,,,,1011.4,-0.5
99,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-02T00:45:00,23.04,78.33,0.89,8.76,9.64,19.11,11.03,0.4,24.63,0.78,0.21,,,0.57,0.01,,85.71,1.19,50.56,,,,1011.2,-0.5
100,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-02T01:00:00,23.04,77.43,0.93,9.14,10.07,19.26,10.93,1.16,25.0,2.95,2.43,,,0.78,2.02,,85.79,0.94,21.59,,,,1011.0,-0.5
101,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-02T01:15:00,21.09,72.09,1.02,9.56,10.57,19.15,11.35,1.39,23.82,0.85,0.08,,,0.33,1.5,,90.06,1.97,89.07,,,,1010.9,-0.5
102,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-02T01:30:00,20.84,72.09,1.08,9.63,10.7,19.34,11.19,1.35,23.03,1.1,0.0,,,1.36,0.37,,91.72,1.8,92.54,,,,1010.6,-0.5
